bookname2019_2,bookprice2019_2,bookname2018_2,bookprice2018_2
"فردقان ""اعتقال الشيخ الرئيس""",45.0,المرشد [عربي/إنكليزي] - معجم عام,111.5
شهياً كفراق,45.0,لماذا كرة القدم؟,70.13
نظام التفاهة,51.0,كن حذراً عندما تتمنى ؛ عائلتان وحدهما القدر وفرقتهما الخيانة - الجزء الرابع,59.06
اللغة العالية ؛ العربية الصحيحة للمذيع والمراسل ولكل صحفي,50.63,امرأة في النافذة,47.81
لست قديسة,44.63,حكاية الطفلة الضائعة - الجزء الرابع,63.75
"رحلتي الفكرية في البذور والجذور والثمر ""سيرة غير ذاتية غير موضوعية""",43.13,ظلام دامس ؛ لا نجوم,67.5
سياسة والحيلة عند العرب ؛ رقائق الحلل في دقائق الحيل,40.5,نقطة التحول,19.5
الإسلام بين الشرق والغرب,43.13,مئة عام من العزلة,42.19
خيميائي,28.5,سورية ؛ الدولة المتوحشة,44.63
سيدة الزمالك,37.5,لعبة الملاك,57.38
ظفار ؛ ثورة الرياح الموسمية,95.63,حليب أسود,53.44
تفاني المشتبه به X ؛ الرواية الظاهرة في اليابان,44.63,اب زهر المعاني,22.5
إقلاع وهبوط ؛ سيرة طبيب من رأس بيروت,25.5,فن أن تكون دائماً على صواب,14.06
قلق السعي إلى المكانة,28.69,"شقة الجابرية ""باستا الجسد""",26.25
بأي ذنب رحلت؟,31.88,حكاية الجارية,82.5
السماح بالرحيل ؛ الطريق نحو التسليم,41.44,فن الحرب,25.5
الحسون,111.5,زهور تأكلها النار,33.75
خيار الحب ؛ علاقة جديدة مستنيرة مع نفسك ومع الآخرين,44.63,الحاجة كريستينا,33.75
ثلاثية غرناطة,35.63,مذكرات طالب ؛ جنون المنزل,23.16
ما الذي يجب أن تعرفه عن طفلك,37.5,السماح بالرحيل ؛ الطريق نحو التسليم,36.56
مسيرتي في التأليف ( مذكرات هذه الصنعة ),54.19,اكتساب الصحة والقوة النفسية,13.13
اكتشاف الطفل,33.75,المكملات الغذائية ليست كلها تعمل,30.0
فن الإغواء,63.75,غيبوبة الولايات المتحدة الأمريكية,31.5
غراميات,38.25,سيناريو بيرة في الكلوب,11.25
"كنت رئيسا لمصر ""مذكرات محمد نجيب""",43.13,البشر ؛ موجز تاريخ الفشل وكيف أفسدنا كل شيء,39.38
عدوي اللدود,44.63,فلسطين المتخيلة ؛ أرض التوراة في اليمن القديم,78.75
"صلاة تشرنوبل ""دفتر المستقبل""",56.25,قلي وقلبي,11.81
جنتلمان في موسكو,63.75,تطبيق التفكير الشامل ؛ دليل للتفكير النقدي عبر المنهاج الدراسي,18.38
تجاوز مستويات الوعي,47.81,ودة الوعي,18.75
عاصفة السيوف,131.2,"الإنسان يبحث عن المعني ""مقدمة في العلاج بالمعني التسامي بالنفس""",26.25
خلاصة الدليل التشخيصي والإحصائي الخامس للاضطرابات العقلية DSM - 5,54.19,اللص والكلاب,35.63
لأنها مختلفة,60.0,علم الباراسيكولوجي (النظرية الكمية والظواهر الروحية),33.75
ظل الريح,38.25,الأنموذج فى بحث الإستعارة,18.75
التخلف الاجتماعي مدخل إلى سيكولوجية الإنسان المقهور,31.88,طبائع الاستبداد ومصارع الاستعباد,35.63
العقل المستوعب,33.75,يوم غائم في البر الغربي,37.5
أسرار الأرقام في حياة الإنسان,64.13,"الإنسان والبحث عن المعنى ""معنى الحياة والعلاج بالمعنى""",31.88
حكاية الجارية,82.5,العقل المستوعب,37.5
لأ بطعم الفلامنكو,41.25,سر الطفولة,37.5
"الأيام المرة والحلوة "" مذكرات الأميرة شادية عثمان أوغلو ابنة السلطان العثماني عبد الحميد الثاني",46.88,المرشد في تعليم الصغار,28.13
"الإنسان والبحث عن المعنى ""معنى الحياة والعلاج بالمعنى""",41.25,ي الحب والحياة,18.75
التقاسيم Taqasim,95.63,ستخدام الطرق الرياضية في الاعمال الحربية,26.25
قصور الإستشراق ؛ منهج في نقد العلم الحداثي,51.0,الجرائم الماسة بالشرف والاعتبار والآداب,39.38
عزازيل,39.38,منهج الامام الترمذي في نقد الحديث النبوي,48.75
الأخطاء اللغوية الشائعة في الأوساط الثقافية,43.13,إرشاد القراء والكاتبين إلى معرفه اسم الكتاب المبين,45.0
مغامرة العقل الأولى ؛ دراسة في الأسطورة سوريا وبلاد الرافدين,64.13,أمن وسلامة المنشآت الحيوية,39.38
اة في الإدارة,31.88,"ثلاث رسائل فى إعجاز القرآن ""16""",41.25
المرشد في تعليم الصغار,26.25,الطوفان,30.0
يهوذا والسامرة ؛ البحث عن مملكة حمير اليهودية - إسرائيل المتخيلة : مساهمة في تصحيح التاريخ الرسمي لمملكة إسرائيل القديمة,47.81,عبودية الكائنات لرب العالمين,37.5
" فن اللامبالاة ""لعيش حياة تخالف المألوف""",39.38,أربعون 40,51.0
القوقعة ؛ يوميات متلصص,39.19,ناقة صالحة,37.5
الصبية والليل,56.25,سيدات القمر,32.06
ارق اللاشعور، أو أسرار الشخصية الناجحة,35.06,"الإنسان يبحث عن المعني ""مقدمة في العلاج بالمعني التسامي بالنفس""",26.25
سر الطفولة,33.75,إن مع الصبر نصراً,44.63
"الاغتيال الإقتصادي للأمم ""إعترافات قرصان إقتصادي""",37.5,قواعد العشق الأربعون,50.63
زمن الصحوة ؛ الحركات الإسلامية المعاصرة في السعودية,51.0,وليمة للغربان,112.5
يونة الإنسان,35.63,كيف تتقن لعبة الحياة,67.69
يوتوبيا,30.0,زلة العقل البشري,41.44
جواهر الدرر في علم مقارنات السور,47.81,حارس سطح العالم,35.63
ز الحافي,33.75,صاحب الظل الطويل,31.88
صديقتي المذهلة ؛ الطفولة والمراهقة,64.13,الكويت ؛ من النشأة إلى الاستقلال - من الدستور إلى الاحتلال - من التحرير إلى الاحتلال,114.7
إسأل تعط ؛ تعلم أن تظهر رغباتك,44.63,بريد الليل,28.5
"الغرق ""حكايات القهر والونس""",33.75,رواء مكة - سيرة روائية,31.88
أسرار الأسماء في حياة الإنسان,64.13,حفيدة صدام,118.1
صدام الملوك,120.0,تصميم البحث النوعي دراسة معمقة في خمسة أساليب,124.6
"مونتيسوري من البداية ""الطفل في البيت من الميلاد حتى سن الثالثة""",31.88,البنت التي لا تحب اسمها,24.94
الطفل والمجتمع والعالم,37.5,حروب الرحماء,45.0
الذاكرة المنهوبة - علم الآثار التوراتي وتزوير تاريخ فلسطين والشرق الأدنى القديم,37.5,لعبة العروش,131.2
العمى,31.88,وعاظ السلاطين,41.44
